"Barcode";"ActualsInland";"ActualsAusland";"Weight";"RecycledMaterialPercentage"
"54026827";"";"";"19,9";"100"
"54035164";"";"";"19,9";"100"
"5000112687262";"";"";"12";""
"54035614";"";"";"19,9";"100"
"5000112674446";"";"";"36,5";"100"
"9031100008192";"";"";"24,5";"100"
"5056784902486";"";"";"14,9";""
"5000112673456";"";"";"12,0";""
"5000112673586";"";"";"12,0";""
"5000112681673";"";"";"12";""
"5000112674330";"";"";"12,0";""
"5000112673463";"";"";"12,0";""
"5000112673470";"";"";"12,0";""
"5000112681079";"";"";"12";"100"
"5000112673340";"";"";"12";""
"5000112681697";"";"";"12";""
"5000112681178";"";"";"12";""
"5000112674293";"";"";"12,0";""
"9031100007966";"";"";"16,0";"100"
"9031100008253";"";"";"16,0";"100"
"9031100008239";"";"";"16,0";"100"
"9031100008215";"";"";"16,0";"100"
"9031100008000";"";"";"16,0";"100"
"9031100007980";"";"";"16,0";"100"
"9031100008475";"";"";"24,5";"100"
"54032507";"";"";"19,9";"100"
"54026834";"";"";"19,9";"100"
"54013919";"";"";"19,9";"100"
"54026971";"";"";"19,9";"100"
"54026902";"";"";"19,9";"100"
"54026858";"";"";"19,9";"100"
"9031100008437";"";"";"16,0";"100"
"9031100008451";"";"";"16,0";"100"
"5000112673401";"";"";"43,7";"100"
"5000112674200";"";"";"43,7";"100"
"5000112673609";"";"";"43,7";"100"
"54026933";"";"";"19,9";"100"
"54026599";"";"";"24,5";"100"
"9031100008291";"";"";"24,5";"100"
"9031100008352";"";"";"24,5";"100"
"9031100008376";"";"";"24,5";"100"
"9031100008277";"";"";"24,5";"100"
"9031100008338";"";"";"24,5";"100"
"9031100008390";"";"";"24,5";"100"
"9031100008598";"";"";"24,5";"100"
"9031100008413";"";"";"24,5";"100"
"54031692";"";"";"18,7";"100"
"54031708";"";"";"18,7";"100"
"54026964";"";"";"18,7";"100"
"54026957";"";"";"18,7";"100"
"54026940";"";"";"18,7";"100"
"5000112673326";"";"";"28,8";"100"
"5000112674422";"";"";"28,8";"100"
"5000112673449";"";"";"28,8";"100"
"5000112674439";"";"";"28,8";"100"
"5000112674262";"";"";"28,8";"100"
"5000112674651";"";"";"28,8";"100"
"5000112674644";"";"";"28,8";"100"
"5000112674163";"";"";"28,8";"100"
"5000112674187";"";"";"36,5";"100"
"5000112681116";"";"";"36,5";"100"
"5000112673302";"";"";"36,5";"100"
"5000112673319";"";"";"36,5";"100"
"5000112673289";"";"";"36,5";"100"
"5000112673517";"";"";"36,5";"100"
"5000112674460";"";"";"36,5";"100"
"5000112674118";"";"";"21,8";"0"
"5000112674149";"";"";"21,8";"0"
"5000112674125";"";"";"21,8";"0"
"5000112674132";"";"";"21,8";"0"
"5000112681130";"";"";"21,8";"0"
"5000112674231";"";"";"19,5";"0"
"5000112683325";"";"";"19,5";"0"
"5000112674224";"";"";"19,5";"100"
"5000112674279";"";"";"10,3";""
"5000112674286";"";"";"10,3";""
"5000112674347";"";"";"10,3";""
"5000112681635";"";"";"28,8";"100"
"5000112673357";"";"";"14,9";""
"5056784903094";"";"";"14,9";""
"5056784902097";"";"";"14,9";""
